Location,annual
adilabad,976.9
adiramapattinam,1131.2
agartala,2108
agatti,1572.9
agra,693.6
ahemdabad,783.6
ahmednagar,608.1
ajmer,571.4
akola,783.4
alappuzha,2832.4
alibag,2408.8
aligarh,712.8
alipurduar,
alwar,
amravati,763.1
ambala,920.5
ambikapur,1379.2
aminidivi,1610.1
amreli,615
amritsar,689.2
anantapur,601.9
angul,1272.6
ariyalur,708.2
arogyavaram,816.6
asansol,
aurangabad,811.7
bagalkot,553.3
bagati,1509.1
bahraich,1198.6
balasore,1710.7
balehonnur,2633.4
ballia,889.5
balurghat,1443.4
banda,856.5
banihal,1364.8
bankura,1625.8
banasthali,
bapatla,1028.5
barabanki,891.4
baramati,524.2
barapani,2173.1
bareilly,1186.5
bargarh,
baripada,1716.5
barmer,304.4
basirhat,
basti,
batote,1529
beed,705
belgaum,1329
bengaluru,1077.6
bengaluru(HAL),953.4
bengaluru(KIA),
berhampore,1369.8
betul,1220.1
bharderwah,1227.9
bhadrachalam(kothagudem),1129.3
bhadrak,
bhagalpur,1161.6
bharatpur,667.1
